soc,title,employment,median_wage,aioe,gpt_beta_model,gpt_beta_human,soc_major
17-2061,Computer Hardware Engineers,76660,161740.0,1.1418,0.7273,0.3182,17
17-2071,Electrical Engineers,198750,120630.0,1.1267,0.5625,0.4062,17
17-2072,"Electronics Engineers, Except Computer",96900,130220.0,0.6655,0.6201,0.4478,17
17-2081,Environmental Engineers,38340,107110.0,1.3436,0.5556,0.5,17
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21450,115160.0,0.9949,0.5042,0.5677,17
17-2112,Industrial Engineers,365740,102440.0,1.1379,0.5544,0.52,17
17-2121,Marine Engineers and Naval Architects,8250,112230.0,0.5472,0.4211,0.4035,17
17-2131,Materials Engineers,22770,112860.0,1.0373,0.4878,0.3171,17
17-2141,Mechanical Engineers,296810,104110.0,1.0047,0.5313,0.5008,17
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6080,106220.0,1.347,0.4815,0.5,17
17-2161,Nuclear Engineers,15280,133970.0,1.303,0.55,0.475,17
17-2171,Petroleum Engineers,18060,144910.0,1.2478,0.5278,0.4306,17
17-2199,"Engineers, All Other",154070,122930.0,0.7876,0.5226,0.4462,17
17-3011,Architectural and Civil Drafters,103700,66150.0,0.9234,0.54,0.52,17
17-3012,Electrical and Electronics Drafters,17920,76870.0,0.9102,0.5745,0.4894,17
17-3013,Mechanical Drafters,39960,71550.0,0.841,0.5,0.4655,17
17-3019,"Drafters, All Other",14470,63520.0,,,,17
17-3021,Aerospace Engineering and Operations Technologists and Technicians,11280,82890.0,0.3909,0.325,0.225,17
17-3022,Civil Engineering Technologists and Technicians,68520,64950.0,0.9323,0.5909,0.4773,17
17-3023,Electrical and Electronic Engineering Technologists and Technicians,95130,78190.0,0.3515,0.4057,0.3302,17
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,15520,73900.0,-0.3041,0.3874,0.2211,17
17-3025,Environmental Engineering Technologists and Technicians,12190,59920.0,0.0438,0.4079,0.4342,17
17-3026,Industrial Engineering Technologists and Technicians,75570,66120.0,0.6107,0.419,0.3684,17
17-3027,Mechanical Engineering Technologists and Technicians,36190,74510.0,-0.1192,0.3787,0.3152,17
17-3028,Calibration Technologists and Technicians,16540,67820.0,,0.4,0.2667,17
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",59930,78350.0,0.1941,0.2688,0.2602,17
17-3031,Surveying and Mapping Technicians,58010,54240.0,0.0852,0.5,0.5106,17
19-1011,Animal Scientists,3100,68940.0,1.0414,0.5312,0.8438,19
19-1012,Food Scientists and Technologists,13060,88720.0,0.7944,0.3462,0.5,19
19-1013,Soil and Plant Scientists,15730,78850.0,0.6321,0.4891,0.6304,19
19-1021,Biochemists and Biophysicists,33830,127410.0,0.9061,0.4545,0.4432,19
19-1022,Microbiologists,18940,87990.0,0.6956,0.3958,0.3125,19
19-1023,Zoologists and Wildlife Biologists,18120,76780.0,0.3176,0.4524,0.5238,19
19-1029,"Biological Scientists, All Other",55850,98920.0,1.0102,0.5492,0.4609,19
19-1031,Conservation Scientists,25950,73010.0,0.069,0.4394,0.4796,19
19-1032,Foresters,10430,76400.0,-0.1844,0.3676,0.3676,19
19-1041,Epidemiologists,12090,87220.0,1.4363,0.4423,0.5577,19
19-1042,"Medical Scientists, Except Epidemiologists",172340,103410.0,1.2799,0.5227,0.5682,19
19-1099,"Life Scientists, All Other",7460,93750.0,,,,19
19-2011,Astronomers,2120,128820.0,1.3737,0.4375,0.4219,19
19-2012,Physicists,20430,172250.0,1.3457,0.75,0.6364,19
19-2021,Atmospheric and Space Scientists,10000,99070.0,1.3739,0.5652,0.6087,19
19-2031,Chemists,82770,91240.0,0.5011,0.38,0.4,19
19-2032,Materials Scientists,8470,117790.0,1.0328,0.4828,0.5172,19
19-2041,"Environmental Scientists and Specialists, Including Health",89250,82220.0,1.0141,0.5217,0.7103,19
19-2042,"Geoscientists, Except Hydrologists and Geographers",23470,101920.0,0.7143,0.4667,0.4778,19
19-2043,Hydrologists,5850,96600.0,0.6405,0.5,0.5312,19
19-2099,"Physical Scientists, All Other",22300,122570.0,1.1402,0.4565,0.4457,19
19-3011,Economists,17790,124720.0,1.4038,0.5526,0.6173,19
19-3022,Survey Researchers,8290,69460.0,1.4265,0.625,0.8438,19
19-3032,Industrial-Organizational Psychologists,790,193950.0,1.4025,0.4889,0.5889,19
19-3033,Clinical and Counseling Psychologists,75990,100580.0,,0.3704,0.5093,19
19-3034,School Psychologists,63940,95990.0,,0.3919,0.5811,19
19-3039,"Psychologists, All Other",18820,110840.0,1.3899,0.4544,0.2817,19
19-3041,Sociologists,2260,106030.0,1.4111,0.5385,0.6154,19
19-3051,Urban and Regional Planners,44230,89320.0,1.2275,0.4773,0.5795,19
19-3091,Anthropologists and Archeologists,8990,70770.0,0.6966,0.4397,0.5172,19
19-3092,Geographers,1400,102040.0,1.4363,0.5,0.375,19
19-3093,Historians,3450,76750.0,1.0989,0.4737,0.5,19
19-3094,Political Scientists,5540,142080.0,1.4189,0.4792,0.5417,19
19-3099,"Social Scientists and Related Workers, All Other",37100,101110.0,1.328,0.5233,0.6628,19
19-4012,Agricultural Technicians,15130,49630.0,,0.4097,0.3333,19
19-4013,Food Science Technicians,14600,52130.0,,0.3571,0.2857,19
19-4021,Biological Technicians,69620,57510.0,0.3012,0.4167,0.2667,19
19-4031,Chemical Technicians,57540,60390.0,0.0628,0.3929,0.3929,19
19-4042,"Environmental Science and Protection Technicians, Including Health",34670,55090.0,,0.4556,0.4222,19
19-4043,"Geological Technicians, Except Hydrologic Technicians",6980,53350.0,,0.3902,0.3049,19
19-4044,Hydrologic Technicians,2840,64790.0,,0.5,0.5312,19
19-4051,Nuclear Technicians,6470,110240.0,0.1697,0.1851,0.2841,19
19-4061,Social Science Research Assistants,30640,61990.0,1.2047,0.6667,0.6212,19
19-4071,Forest and Conservation Technicians,30410,54560.0,,0.3269,0.3269,19
19-4092,Forensic Science Technicians,19120,72060.0,0.2401,0.3871,0.1935,19
19-4099,"Life, Physical, and Social Science Technicians, All Other",73910,62280.0,0.4501,0.5348,0.4732,19
19-5011,Occupational Health and Safety Specialists,140610,90150.0,,0.3333,0.3571,19
19-5012,Occupational Health and Safety Technicians,30590,61560.0,,0.3958,0.4167,19
21-1012,"Educational, Guidance, and Career Counselors and Advisors",353310,64330.0,0.9739,0.2895,0.3246,21
21-1013,Marriage and Family Therapists,66740,66940.0,1.3674,0.1111,0.2778,21
21-1015,Rehabilitation Counselors,94740,46850.0,0.5025,0.3548,0.4677,21
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",491930,59350.0,,,,21
21-1019,"Counselors, All Other",28580,50860.0,,,,21
21-1021,"Child, Family, and School Social Workers",392550,59550.0,0.7762,0.2429,0.3,21
21-1022,Healthcare Social Workers,187630,67880.0,0.934,0.3438,0.4219,21
21-1023,Mental Health and Substance Abuse Social Workers,132810,60280.0,1.1192,0.2708,0.3542,21
21-1029,"Social Workers, All Other",62930,71900.0,,,,21
21-1091,Health Education Specialists,65690,64070.0,0.6917,0.5323,0.5,21
21-1092,Probation Officers and Correctional Treatment Specialists,89390,66270.0,0.5272,0.3947,0.4474,21
21-1093,Social and Human Service Assistants,437860,45930.0,0.4652,0.3929,0.375,21
21-1094,Community Health Workers,61660,51850.0,0.0371,0.3194,0.3472,21
21-1099,"Community and Social Service Specialists, All Other",107730,56730.0,,,,21
21-2011,Clergy,57200,60810.0,1.2826,0.3333,0.2381,21
21-2021,"Directors, Religious Activities and Education",22160,52100.0,1.2109,0.4394,0.4545,21
21-2099,"Religious Workers, All Other",15760,45280.0,,,,21
23-1011,Lawyers,754500,159670.0,1.3288,0.425,0.475,23
23-1012,Judicial Law Clerks,13290,64920.0,1.463,0.5172,0.4483,23
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",16370,117860.0,1.3747,0.5,0.3462,23
23-1022,"Arbitrators, Mediators, and Conciliators",9210,75530.0,1.4316,0.5,0.371,23
23-1023,"Judges, Magistrate Judges, and Magistrates",24030,153990.0,1.4965,0.4167,0.25,23
23-2011,Paralegals and Legal Assistants,392880,62890.0,1.2921,0.525,0.45,23
23-2093,"Title Examiners, Abstractors, and Searchers",48580,58650.0,1.28,0.5714,0.5536,23
23-2099,"Legal Support Workers, All Other",46760,72110.0,,,,23
25-1011,"Business Teachers, Postsecondary",82150,99080.0,1.3493,0.4886,0.4205,25
25-1021,"Computer Science Teachers, Postsecondary",35480,96980.0,1.2778,0.5119,0.369,25
25-1022,"Mathematical Science Teachers, Postsecondary",47670,79940.0,1.3387,0.5405,0.4324,25
25-1031,"Architecture Teachers, Postsecondary",7700,96870.0,1.222,0.4878,0.4268,25
25-1032,"Engineering Teachers, Postsecondary",40270,109270.0,1.3511,0.5,0.4167,25
25-1041,"Agricultural Sciences Teachers, Postsecondary",8920,98700.0,0.7547,0.5,0.5889,25
25-1042,"Biological Science Teachers, Postsecondary",50190,84620.0,1.2277,0.4694,0.398,25
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1520,101420.0,1.2603,0.4783,0.4239,25
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9900,103170.0,1.3062,0.475,0.4,25
25-1052,"Chemistry Teachers, Postsecondary",19980,93250.0,1.3339,0.4314,0.402,25
25-1053,"Environmental Science Teachers, Postsecondary",6690,94980.0,1.3475,0.5217,0.4239,25
25-1054,"Physics Teachers, Postsecondary",13090,100310.0,1.0442,0.4186,0.3721,25
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5240,99650.0,1.3217,0.5204,0.4082,25
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11300,85020.0,1.3087,0.5,0.4444,25
25-1063,"Economics Teachers, Postsecondary",11560,123920.0,1.319,0.4756,0.439,25
25-1064,"Geography Teachers, Postsecondary",3330,97590.0,1.3189,0.4773,0.4659,25
25-1065,"Political Science Teachers, Postsecondary",16970,98070.0,1.3684,0.4756,0.4146,25
25-1066,"Psychology Teachers, Postsecondary",41530,80340.0,1.3337,0.48,0.39,25
25-1067,"Sociology Teachers, Postsecondary",11850,84290.0,1.3492,0.4318,0.3977,25
25-1069,"Social Sciences Teachers, Postsecondary, All Other",16580,72990.0,,,,25
25-1071,"Health Specialties Teachers, Postsecondary",221270,107310.0,0.9248,0.475,0.3875,25
25-1072,"Nursing Instructors and Teachers, Postsecondary",77960,80250.0,0.5171,0.402,0.3725,25
25-1081,"Education Teachers, Postsecondary",60830,75350.0,1.193,0.4881,0.4405,25
25-1082,"Library Science Teachers, Postsecondary",3630,80340.0,1.3863,0.5106,0.4255,25
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13150,76590.0,1.39,0.5,0.4375,25
25-1112,"Law Teachers, Postsecondary",20060,128500.0,1.3564,0.45,0.5875,25
25-1113,"Social Work Teachers, Postsecondary",12610,77570.0,1.3473,0.4205,0.5114,25
25-1121,"Art, Drama, and Music Teachers, Postsecondary",93560,78620.0,0.7583,0.4375,0.5938,25
25-1122,"Communications Teachers, Postsecondary",29420,78580.0,1.3474,0.425,0.575,25
25-1123,"English Language and Literature Teachers, Postsecondary",57720,78760.0,1.4178,0.5268,0.5714,25
25-1124,"Foreign Language and Literature Teachers, Postsecondary",19830,79350.0,1.3341,0.5333,0.5667,25
25-1125,"History Teachers, Postsecondary",18790,83820.0,1.4375,0.5111,0.5889,25
25-1126,"Philosophy and Religion Teachers, Postsecondary",20460,80260.0,1.3635,0.5114,0.5909,25
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2770,75870.0,1.2117,0.5375,0.65,25
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",12630,77270.0,1.1649,0.5581,0.6163,25
25-1194,"Career/Technical Education Teachers, Postsecondary",114110,63820.0,0.1622,0.4872,0.4487,25
25-1199,"Postsecondary Teachers, All Other",149840,77640.0,,,,25
25-2011,"Preschool Teachers, Except Special Education",478780,38140.0,0.0306,0.2273,0.3106,25
25-2012,"Kindergarten Teachers, Except Special Education",108870,62680.0,0.3644,0.2329,0.2945,25
25-2021,"Elementary School Teachers, Except Special Education",1388390,63970.0,0.8869,0.3108,0.3108,25
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",620090,64370.0,1.2864,0.3478,0.3406,25
25-2023,"Career/Technical Education Teachers, Middle School",16870,65030.0,0.5199,0.3226,0.3387,25
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1065210,72040.0,1.1913,0.3333,0.3413,25
25-2032,"Career/Technical Education Teachers, Secondary School",111420,66270.0,0.3735,0.3333,0.3333,25
25-2051,"Special Education Teachers, Preschool",29510,64830.0,0.3751,0.2,0.3071,25
25-2052,"Special Education Teachers, Kindergarten and Elementary School",260870,65120.0,0.7357,,,25
25-2057,"Special Education Teachers, Middle School",95200,66810.0,,0.3052,0.3052,25
25-2058,"Special Education Teachers, Secondary School",163930,74260.0,,0.3013,0.2949,25
25-2059,"Special Education Teachers, All Other",33930,76580.0,-0.6633,0.475,0.25,25
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",37310,61540.0,1.349,0.4044,0.4265,25
25-3021,Self-Enrichment Teachers,332110,46800.0,0.5264,0.36,0.38,25
25-3031,"Substitute Teachers, Short-Term",524770,41670.0,,0.3611,0.0833,25
25-3041,Tutors,175070,43350.0,,0.5429,0.3714,25
25-3099,"Teachers and Instructors, All Other",113790,66140.0,1.3253,,,25
25-4011,Archivists,7970,64550.0,0.6766,0.5,0.5,25
25-4012,Curators,12150,63420.0,0.7367,0.5,0.5185,25
25-4013,Museum Technicians and Conservators,12310,51440.0,-0.0912,0.2368,0.2368,25
25-4022,Librarians and Media Collections Specialists,133790,68270.0,,0.5351,0.5,25
25-4031,Library Technicians,68690,44580.0,0.038,0.5673,0.5288,25
25-9021,Farm and Home Management Educators,8220,60220.0,0.8604,0.3704,0.537,25
25-9031,Instructional Coordinators,227760,77440.0,1.3019,0.4875,0.525,25
25-9044,"Teaching Assistants, Postsecondary",164090,42910.0,,0.5303,0.3636,25
25-9045,"Teaching Assistants, Except Postsecondary",1420350,36780.0,,,,25
25-9099,"Educational Instruction and Library Workers, All Other",118590,50890.0,,,,25
27-1011,Art Directors,53070,114850.0,1.0225,0.5,0.431,27
27-1012,Craft Artists,4580,46080.0,-0.9295,0.2586,0.2241,27
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",11220,55490.0,-0.569,0.425,0.3125,27
27-1014,Special Effects Artists and Animators,19970,102030.0,0.7059,0.525,0.475,27
27-1019,"Artists and Related Workers, All Other",6930,71240.0,,,,27
27-1021,Commercial and Industrial Designers,33490,83910.0,0.867,0.4655,0.4138,27
27-1022,Fashion Designers,21450,80960.0,0.5802,0.3906,0.375,27
27-1023,Floral Designers,40590,37360.0,-0.2718,0.2,0.2667,27
27-1024,Graphic Designers,197830,62960.0,0.7157,0.5,0.4107,27
27-1025,Interior Designers,71500,67190.0,1.1217,0.5,0.3621,27
27-1026,Merchandise Displayers and Window Trimmers,165220,39390.0,-1.0014,0.3049,0.2683,27
27-1027,Set and Exhibit Designers,10630,75240.0,-0.0519,0.3913,0.3587,27
27-1029,"Designers, All Other",9480,64950.0,,,,27
27-2011,Actors,55000,,0.1591,0.1875,0.1562,27
27-2012,Producers and Directors,143120,90360.0,0.9388,0.4696,0.437,27
27-2021,Athletes and Sports Competitors,15070,66710.0,-1.8143,0.0,0.0,27
27-2022,Coaches and Scouts,248950,47320.0,0.1169,0.3,0.1444,27
27-2023,"Umpires, Referees, and Other Sports Officials",15780,40710.0,-0.0326,0.3125,0.1667,27
27-2031,Dancers,8130,,-2.6698,0.0208,0.0417,27
27-2032,Choreographers,2860,55310.0,-1.5758,0.2714,0.1714,27
27-2041,Music Directors and Composers,12540,73710.0,0.883,0.7105,0.2807,27
27-2042,Musicians and Singers,36180,,-0.004,0.4082,0.1327,27
27-2091,"Disc Jockeys, Except Radio",7920,,,0.5263,0.3684,27
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",16550,,,,,27
27-3011,Broadcast Announcers and Radio Disc Jockeys,21240,47340.0,0.8494,0.65,0.5375,27
27-3023,"News Analysts, Reporters, and Journalists",39250,62200.0,,0.65,0.6333,27
27-3031,Public Relations Specialists,283380,74750.0,1.2849,0.5909,0.7879,27
27-3041,Editors,91690,77920.0,1.1282,0.6471,0.6471,27
27-3042,Technical Writers,45500,90390.0,1.184,0.7,0.6333,27
27-3043,Writers and Authors,47940,76910.0,0.9879,0.8771,0.7742,27
27-3091,Interpreters and Translators,52060,60170.0,1.1113,0.88,0.84,27
27-3092,Court Reporters and Simultaneous Captioners,12870,72420.0,,0.9583,0.5208,27
27-3099,"Media and Communication Workers, All Other",19590,73620.0,,,,27
27-4011,Audio and Video Technicians,70230,58100.0,-0.0118,0.4375,0.3,27
27-4012,Broadcast Technicians,21110,59570.0,0.1222,0.5238,0.2143,27
27-4014,Sound Engineering Technicians,13080,73130.0,0.4715,0.4259,0.2778,27
27-4015,Lighting Technicians,8900,68060.0,,0.1562,0.0938,27
27-4021,Photographers,51760,44660.0,-0.1681,0.3854,0.2188,27
27-4031,"Camera Operators, Television, Video, and Film",21550,74990.0,-0.447,0.4242,0.1818,27
27-4032,Film and Video Editors,25610,75420.0,0.9857,0.5278,0.4722,27
27-4099,"Media and Communication Equipment Workers, All Other",12450,70720.0,,,,27
29-1011,Chiropractors,39630,79200.0,-0.1912,0.4545,0.3182,29
29-1021,"Dentists, General",124390,170950.0,-0.1813,0.25,0.225,29
29-1022,Oral and Maxillofacial Surgeons,4910,352220.0,-0.239,0.04,0.08,29
29-1023,Orthodontists,6210,289140.0,0.1617,0.3,0.2,29
29-1024,Prosthodontists,870,311180.0,-0.1561,0.0455,0.0909,29
29-1029,"Dentists, All Other Specialists",5230,224990.0,,,,29
29-1031,Dietitians and Nutritionists,77570,76400.0,1.3428,0.5488,0.4634,29
29-1041,Optometrists,42790,136570.0,0.504,0.3,0.05,29
29-1051,Pharmacists,321970,140910.0,0.6059,0.4286,0.4,29
29-1071,Physician Assistants,162150,135880.0,0.1059,0.2708,0.1101,29
29-1081,Podiatrists,9680,160300.0,0.6279,0.2857,0.2857,29
29-1122,Occupational Therapists,162450,100330.0,0.1152,0.289,0.3407,29
29-1123,Physical Therapists,267330,102760.0,-0.3582,0.1915,0.3404,29
29-1124,Radiation Therapists,17070,105310.0,-0.2189,0.2805,0.1707,29
29-1125,Recreational Therapists,14930,61960.0,0.219,0.3182,0.3636,29
29-1126,Respiratory Therapists,139790,82280.0,-0.1881,0.2024,0.1905,29
29-1127,Speech-Language Pathologists,183390,97870.0,1.1463,0.4512,0.3902,29
29-1128,Exercise Physiologists,8560,59460.0,-0.0332,0.26,0.34,29
29-1129,"Therapists, All Other",22640,77930.0,,0.3656,0.4096,29
29-1131,Veterinarians,83900,130100.0,-0.075,0.2703,0.2297,29
29-1141,Registered Nurses,3379720,97550.0,0.2294,0.3802,0.335,29
29-1151,Nurse Anesthetists,51840,236590.0,0.2413,0.1667,0.125,29
29-1161,Nurse Midwives,7920,134040.0,0.1966,0.3902,0.2927,29
29-1171,Nurse Practitioners,323040,132300.0,0.1901,0.4815,0.3148,29
29-1181,Audiologists,13660,95780.0,0.6329,0.4545,0.4545,29
29-1211,Anesthesiologists,38760,391490.0,,0.25,0.2941,29
29-1212,Cardiologists,17290,496010.0,,0.3462,0.2308,29
29-1213,Dermatologists,11370,328730.0,,0.3824,0.3235,29
29-1214,Emergency Medicine Physicians,32880,335550.0,,0.4412,0.3529,29
29-1215,Family Medicine Physicians,107510,244180.0,,0.4375,0.375,29
29-1216,General Internal Medicine Physicians,67150,256560.0,,0.4571,0.3714,29
29-1217,Neurologists,10590,248560.0,,0.4565,0.3696,29
29-1218,Obstetricians and Gynecologists,21260,292910.0,,0.3929,0.3036,29
